                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.80631,                0.71586,                0.93203,                0.82897,                0.82143,                0.86283,                0.63657,                 1.1157,                 1.0177,                 1.1071,             0.00055188,             0.00055188,             0.00055188
                    127,                0.85474,                0.70209,                0.96355,                0.92871,                0.75984,                0.90419,                0.64655,                 1.1883,                0.96066,                 1.1033,             0.00054481,             0.00054481,             0.00054481
                    128,                0.82121,                0.70749,                0.95839,                0.91767,                0.77295,                  0.902,                0.67317,                 1.1239,                0.97698,                 1.0624,             0.00053773,             0.00053773,             0.00053773
                    129,                0.88922,                0.78356,                0.96372,                0.84493,                0.82388,                0.90165,                0.70253,                 1.0854,                0.93519,                 1.0458,             0.00053066,             0.00053066,             0.00053066
                    130,                0.82435,                0.65203,                0.95956,                0.77931,                0.90369,                0.91351,                0.70679,                 1.1866,                0.91699,                 1.0838,             0.00052359,             0.00052359,             0.00052359
                    131,                0.83364,                0.64541,                0.93584,                0.77943,                0.96234,                0.93451,                 0.6823,                 1.2146,                0.95107,                 1.1278,             0.00051651,             0.00051651,             0.00051651
                    132,                0.86469,                0.66929,                0.91916,                0.88994,                0.77945,                0.90554,                0.64191,                 1.1815,                0.95767,                  1.105,             0.00050944,             0.00050944,             0.00050944
                    133,                0.84001,                0.68557,                0.96421,                0.92927,                 0.7644,                0.89702,                0.64727,                 1.1495,                0.93076,                 1.0828,             0.00050236,             0.00050236,             0.00050236
                    134,                0.87151,                0.72572,                0.93395,                0.93176,                 0.7706,                0.90487,                 0.6725,                 1.1019,                0.85884,                  1.071,             0.00049529,             0.00049529,             0.00049529
                    135,                 0.8923,                0.68882,                 0.9637,                 0.9323,                0.77381,                0.90166,                0.71173,                  1.056,                0.86142,                 1.0451,             0.00048822,             0.00048822,             0.00048822
                    136,                0.80219,                 0.6275,                0.93852,                0.91336,                   0.75,                0.88451,                0.64641,                 1.0521,                0.94741,                 1.0218,             0.00048114,             0.00048114,             0.00048114
                    137,                0.78838,                0.65322,                0.93264,                0.85756,                0.78901,                0.87458,                 0.6873,                 1.0611,                  1.046,                 1.0381,             0.00047407,             0.00047407,             0.00047407
                    138,                0.81111,                0.66034,                0.96183,                0.84693,                0.79762,                  0.861,                0.65287,                 1.1143,                 1.0354,                 1.0657,               0.000467,               0.000467,               0.000467
                    139,                0.82568,                0.61861,                0.92985,                0.88133,                0.77381,                0.86857,                0.65053,                 1.1432,                 1.0547,                 1.0683,             0.00045992,             0.00045992,             0.00045992
                    140,                0.80125,                 0.6481,                0.93529,                0.89951,                   0.75,                0.88555,                0.68876,                 1.1098,                 1.0119,                 1.0553,             0.00045285,             0.00045285,             0.00045285
                    141,                0.86127,                0.66622,                0.93414,                0.87064,                0.81615,                0.91864,                0.71089,                 1.0398,                0.99576,                 1.0768,             0.00044578,             0.00044578,             0.00044578
                    142,                0.82044,                 0.6836,                0.93394,                0.88085,                0.81469,                 0.9227,                0.71442,                 1.0188,                0.99182,                 1.0898,              0.0004387,              0.0004387,              0.0004387
                    143,                0.80448,                0.66032,                0.94443,                0.94551,                0.80157,                0.91751,                0.70506,                 1.0219,                 1.0052,                 1.1277,             0.00043163,             0.00043163,             0.00043163
                    144,                0.81356,                0.64949,                0.91946,                0.86404,                0.83255,                0.90946,                0.66286,                 1.0632,                 1.0593,                 1.1281,             0.00042456,             0.00042456,             0.00042456
                    145,                 0.7495,                0.65589,                0.91796,                0.84409,                0.86387,                0.91093,                0.67744,                  1.125,                 1.1172,                  1.148,             0.00041748,             0.00041748,             0.00041748
                    146,                 0.7877,                0.62406,                0.93567,                0.82788,                0.86594,                0.91206,                0.65848,                 1.1947,                 1.1014,                 1.1415,             0.00041041,             0.00041041,             0.00041041
